;category;words
ROM046;10809;short
ROM038;49830;medium
ROM078;138774;long
ROM043;33256;short
ROM042;47631;short
ROM006;116760;long
ROM075;82199;medium
ROM022;29590;short
ROM055;52003;medium
ROM054;75689;medium
ROM016;34667;short
ROM040;62276;medium
ROM041;57623;medium
ROM067;23550;short
ROM023;22748;short
ROM012;52107;medium
ROM050;28547;short
ROM039;28507;short
ROM017;68529;medium
ROM063;69113;medium
ROM026;34668;short
ROM003;31076;short
ROM027;42196;short
ROM001;9801;too short!
ROM031;118971;long
ROM029;49147;medium
ROM073;73377;medium
ROM074;120627;long
ROM037;55091;medium
ROM018;62114;medium
ROM025;144981;long
ROM077;179493;long
ROM076;160208;long
ROM056;206938;long
ROM048;52880;medium
ROM064;12988;short
ROM033;14289;short
ROM010;64880;medium
ROM072;81244;medium
ROM079;58162;medium
ROM015;21796;short
ROM044;58287;medium
ROM024;112471;long
ROM020;43247;short
ROM045;69581;medium
ROM070;57455;medium
ROM052;28182;short
ROM019;39191;short
ROM030;44156;short
ROM059;103175;long
ROM034;42167;short
ROM036;46529;short
ROM069;92642;medium
ROM013;56124;medium
ROM005;27908;short
ROM080;80049;medium
ROM009;29515;short
ROM004;38940;short
ROM008;33069;short
ROM061;108695;long
ROM051;37738;short
ROM066;21990;short
ROM071;100992;long
ROM021;23984;short
ROM062;53350;medium
ROM002;32627;short
ROM049;9320;too short!
ROM014;20295;short
ROM007;31716;short
ROM065;26448;short
ROM058;33153;short
ROM011;30140;short
ROM028;57520;medium
ROM053;41846;short
ROM047;106760;long
ROM057;68171;medium
ROM060;131942;long
ROM035;32607;short
ROM068;107180;long
ROM032;22826;short
