;category;words
ROM001;too short!;9801
ROM002;short;32627
ROM003;short;31076
ROM004;short;38940
ROM005;short;27908
ROM006;long;116760
ROM007;short;31716
ROM008;short;33069
ROM009;short;29515
ROM010;medium;64880
ROM011;short;30140
ROM012;medium;52107
ROM013;medium;56124
ROM014;short;20295
ROM015;short;21796
ROM016;short;34667
ROM017;medium;68529
ROM018;medium;62114
ROM019;short;39191
ROM020;short;43247
ROM021;short;23984
ROM022;short;29590
ROM023;short;22748
ROM024;long;112471
ROM025;long;144981
ROM026;short;34668
ROM027;short;42196
ROM028;medium;57520
ROM029;short;49147
ROM030;short;44156
ROM031;long;118971
ROM032;short;22826
ROM033;short;14289
ROM034;short;42167
ROM035;short;32607
ROM036;short;46529
ROM037;medium;55091
ROM038;short;49830
ROM039;short;28507
ROM040;medium;62276
ROM041;medium;57623
ROM042;short;47631
ROM043;short;33256
ROM044;medium;58287
ROM045;medium;69581
ROM046;short;10809
ROM047;long;106760
ROM048;medium;52880
ROM049;too short!;9320
ROM050;short;28547
ROM051;short;37738
ROM052;short;28182
ROM053;short;41846
ROM054;medium;75689
ROM055;medium;52003
ROM056;long;206938
ROM057;medium;68171
ROM058;short;33153
ROM059;long;103175
ROM060;long;131942
ROM061;long;108695
ROM062;medium;53350
ROM063;medium;69113
ROM064;short;12988
ROM065;short;26448
ROM066;short;21990
ROM067;short;23550
ROM068;long;107180
ROM069;medium;92642
ROM070;medium;57455
ROM071;long;100992
ROM072;medium;81244
ROM073;medium;73377
ROM074;long;120627
ROM075;medium;82199
ROM076;long;160208
ROM077;long;179493
ROM078;long;138774
ROM079;medium;58162
ROM080;medium;80049
