;0
FRA00101_Adam;21636
FRA00102_Adam;29593
FRA00201_Audoux;37171
FRA00301_Aimard;90276
FRA00302_Aimard;139314
FRA00401_Allais;41424
FRA00501_Balzac;42274
FRA00502_Balzac;111052
FRA00503_Balzac;93205
FRA00601_Boisgobey;93658
FRA00602_Boisgobey;104131
FRA00701_Carraud;53860
FRA00801_Dash;45263
FRA00901_Daudet;87744
FRA00903_Daudet;85708
FRA01001_DelarueMardrus;62356
FRA01002_DelarueMardrus;35097
FRA01101_Dombre;50336
FRA01102_Dombre;24998
FRA01201_Feval;136999
FRA01202_Feval;103086
FRA01203_Feval;80201
FRA01301_Flaubert;149810
FRA01302_Flaubert;120122
FRA01303_Flaubert;105395
FRA01401_Fleuriot;35076
FRA01402_Fleuriot;38021
FRA01403_Fleuriot;64213
FRA01501_France;71994
FRA01601_GautierJ;107267
FRA01602_GautierJ;51537
FRA01603_GautierJ;29460
FRA01701_GautierT;40222
FRA01702_GautierT;59638
FRA01801_Gay;188983
FRA01902_Gaboriau;269763
FRA02001_Gilbert;21626
FRA02101_Girardin;69231
FRA02201_Gouraud;45701
FRA02202_Gouraud;43357
FRA02203_Gouraud;45477
FRA02301_Greville;60048
FRA02302_Greville;56987
FRA02303_Greville;52698
FRA02401_LeRouge;25038
FRA02402_LeRouge;76673
FRA02501_Loti;73698
FRA02502_Loti;57949
FRA02601_Malot;70236
FRA02602_Malot;123735
FRA02603_Malot;105754
FRA02701_Maupassant;111187
FRA02702_Maupassant;77338
FRA02801_Mirbeau;78137
FRA02802_Mirbeau;60951
FRA02901_Noailles;56757
FRA03001_Ohnet;115270
FRA03002_Ohnet;53382
FRA03003_Ohnet;50561
FRA03101_Ponson;68667
FRA03102_Ponson;173741
FRA03201_Blandy;84121
FRA03301_Rattazzi;58791
FRA03302_Rattazzi;56080
FRA03401_Reybaud;38804
FRA03601_Proust;181469
FRA03701_Sand;101919
FRA03702_Sand;88169
FRA03703_Sand;89154
FRA03801_Stern;16339
FRA03802_Stern;70592
FRA03901_Stolz;52092
FRA03902_Stolz;52128
FRA03903_Stolz;49150
FRA04001_Verne;125179
FRA04002_Verne;55614
FRA04101_Erckmann;23489
FRA04102_Erckmann;61525
FRA04201_Rolland;41108
FRA04202_Rolland;60263
FRA04301_Achard;179332
FRA04401_Barbusse;119403
FRA04501_Barres;31172
FRA04601_Bazin;88367
FRA04701_Bourget;47202
FRA04901_Dumas;217375
FRA05101_Eekhoud;48550
FRA05201_Feuillet;31143
FRA05301_Galopin;50310
FRA05501_Lermina;47052
FRA05702_Maquet;177350
FRA05801_Mille;49700
FRA05901_Moselly;78099
FRA06001_Rebell;53060
FRA06101_Sandeau;62501
FRA06201_Viel-Castel;50642
