id,year,year-cat,canon-cat,gender-cat,length,length-cat,counter
CS0001,1855,T1,low,F,11784,short,1
CS0002,1857,T1,low,M,27738,short,1
CS0004,1857,T1,low,M,29716,short,1
CS0005,1857,T1,low,M,39143,short,1
CS0008,1858,T1,low,M,26395,short,1
CS0009,1860,T2,low,M,39691,short,1
CS0010,1860,T2,unspecified,M,31148,short,1
CS0011,1864,T2,low,M,16488,short,1
CS0013,1867,T2,low,M,13084,short,1
CS0014,1870,T2,low,M,42646,short,1
CS0015,1874,T2,low,M,13749,short,1
CS0018,1881,T3,low,M,10665,short,1
CS0019,1881,T3,low,M,11096,short,1
CS0020,1885,T3,low,M,10605,short,1
CS0021,1891,T3,low,M,19964,short,1
CS0023,1899,T3,low,F,22714,short,1
